AdvertiserID,Revenue
ADVTMVKKUKWIYBASFZKOWIECNPXHMKPVWIRE,153516
ADVTHMGLINBDZDIPTNFZHQWJNCCXABCAOAYY,534506
ADVTYTRRBNGVYGDNUVMWRKMHOSOJFFNVHCFX,114342
ADVTXIEGBHILOLDHBGIKWYIPDYZYXLIHKDBR,809587
ADVTZHAQKYKJSXJLWTUUPPATLXEPAENBAXQZ,256528
ADVTKKFMDOAQROEXCDUYACKRAHQGOGBJKNMO,806530
ADVTNYMTSMNZJQIXIBIGSRCYKDSGKKCXFUKT,76504
ADVTLJFGUMSJTAHYVQCXQVGJYSDWQHCYRFMS,946617
ADVTIWTNMWMIRBYZZVUFYJQJDWMZGCXRYOJW,310629
ADVTWRYZVDRPMZBKSKJSAEHDVXJJDUGWGOGS,769114
ADVTVHITJCDKIPANRNPKYGLYXHQVTHWDXIAQ,191432
ADVTQIZFJHJWFACJLLPHOTWPVHLIQMZBHZVQ,973139
ADVTIKUVYAJVRHQVZXHUJDRDEEWQZUOMHLMC,19011
ADVTMPVAEDURVDYJBFSDXNLWCJVFIDXPSZAH,365969
ADVTOHBEPQGGGKFVKHZWHKJDAMMQYUJMLNJU,240928
ADVTWPTZCIEIFIMGXQGOXICWECOUIASRPGRW,152241
ADVTCDAMJVOTFZHAGYDYKZOIIFRQJHSYVYAL,405001
ADVTSESTQLOAISOTGIVEPGIVDTXAGRKHRNVE,906896
ADVTOPUIOGRETFLNGEMZEOLHVPVFSZCQMOPH,620361
ADVTWEKMKDZDBQVKQMTFQVMZSPEGHFCSOSRH,432034
ADVTNPIESQLYFGNADFRJKITKUAMNJKWBOFEP,630072
ADVTFLKBNDOQKMPIFFLXLSJKGXFDIXQKEUZG,895945
ADVTKYBMQYWEXFBUCRQVPYPWGITHQASKDSLB,339593
ADVTFOXHLZVEFMIBHIAMLUPQAGXYKMXHSDMK,982778
ADVTQZSYNRSBWFUJLNIDICQDMSYBBVWEAHRT,70332
ADVTZUGYMISYGNTKZTSICWGMXDSDPSTIQERH,207922
ADVTSIXVEHPSQEPRJDOMBXYRETWLUNDBEVJP,990891
ADVTFAHCFIQGLZQYBQZULRKIBAZTUDLTMRAV,442694
ADVTNOJVSCBQHMGVRQVDWZROPZYBQQNQSQLK,455717
ADVTRRULBUXPBDGVFJYSFWEOKQEITEWUNPVQ,621595
ADVTADHQEKBWEWTUXYVHCLNSEGGSTZFKMLWO,119184
ADVTEPQPFZAKFVHIDWDQDCAVAHIESVTNIXKH,724531
ADVTNUJMNQLDSQTVJBLEUVHBUGGRMACEZVTK,420676
ADVTKJUFPSZCPZHBDWRVIBMVKEIAKERPRAYM,304744
ADVTBXYXKPOWQJGRQDYBJCJCEXJDRDPCYQNK,70270
ADVTKHOXFQQIPFOELQBDZWTQFXGYLBMSJNHB,967226
ADVTUGNCNSNMNOZCKMOVDNDPQIUUYAVIXSEB,278813
ADVTEUYJGFVMOZVMHGIXBFEAEVPYIJIPTALM,800547
ADVTJTKIFTQSEPDCSWKNXJFJCPEEENOHMRZV,603526
ADVTHQQVSERDJOUILFQXOWUIZPJGJMFYHBRK,196487
ADVTAHGZMLFHYWAIITDCNXDUFBHFJLFCSJFA,537878
ADVTBMUDDYQXMGBDEWUWDZDANNWHOPKWVGGE,205095
ADVTOAJRUFRBYYPDQGXNXYGUBQHAJZFYDHJC,421590
ADVTOBOSYYUQJWGAJOUXAEWXTHRYKJGYJQRM,179139
ADVTJGAPLPALUJOPIJNMIUFJTDFZGRTUOSRG,30662
ADVTQMRVNPBKKIVDKFDIGKWRYCVBYNDLLPOT,431098
ADVTCXYQVACRHCITMLMITUBRFCMCZERIEOBN,442499
ADVTEHCDGTKDQMQOSMNOGLKPZVKNLGIDXXFN,730545
ADVTONWVOBOBDBUUOJETMOCQUCREMNYHKKUC,623062
ADVTKRVIUHPSORKFNRAMVAPXQSYHKQXZVIHI,467099
ADVTUDFLBYWXTWAJCUNLWNUACPEETRXVCTIY,719167
ADVTNSFWODPMMDOPCRLVNTZLKWBRGCNSTSPQ,393416
