AdvertiserID,Revenue
ADVTHIKFURONUEIIRMOMDIZKENFNANKTWVNZ,156927
ADVTJMQDPXMTYLFNECAIGJQUQMGFOAELDNHR,602805
ADVTQZOSHXVOTBZLMPMATUTPDSUOZOKGTNBV,293522
ADVTOIEZVNRMJOHXWINBOQUNKIMUXPYZDHYG,161539
ADVTWBNADAYGOMJZQFXHSECXPVKUGAUHXFOA,351417
ADVTCSPEXUHFNVWMWGVTSVLUXGUPMKLDGQKU,514346
ADVTVCOQGHPXQFFTZVMLLSJELWGKDLJTDVCX,256564
ADVTQKNUDUUOOVGIXNUGXAEIYJXZUJYNAMHI,521753
ADVTNWFXKZWVTNQROLGOZJHGEBMZMELEQPSF,660750
ADVTHGDLVLRCPFJJKFLJFAMWRPLFRCVWWCCM,391443
ADVTIWTNMWMIRBYZZVUFYJQJDWMZGCXRYOJW,38763
ADVTANSTQMOLUVJFESPTRRWZFAVRSELHDHNW,405959
ADVTHQXGSPOYROZLBJOXJJKIKYZKORHLSOPR,759513
ADVTWNGPHJHYSZACYEDIBDTBSPWZPRKQGFJS,365567
ADVTGTYWWVWOYXPEVIOJBQFYFCHTFVTZCKRK,69943
ADVTCPYBPKZQSDEAUKTBHENZJGPVJIQXKTEV,972058
ADVTNMITOZHUKCVJSYJFEQEUBSRBABHAQTJI,720946
ADVTNDWUGFDYMGHSTDNMUJTQSDMZSOHMEWZK,787254
ADVTVUUGSLDNUJRUNPAMDZGYDXXVPFOIXVQC,612314
ADVTOFVCDEAZATVBQEOSQPEKYHDZYMAFMGHQ,522340
ADVTASYDHKQIFCICPLDDAKYRLZZNDQJTHIHI,950852
ADVTZCCNEAQAYRYFFYWRJUBSAXJRWGVVLXTH,735966
ADVTZOYQHQZUIFAZAPLSNEVQWHVVAUIGKVTE,880695
ADVTCHBVVPXYGICIZLBTFQLQOWAKNWVZOCZK,46151
ADVTXFNXFUHUPITYEIUZACVGDVYTOZNCAKSB,581812
ADVTSOLMPNOVIYCBTUHXNSQDUDIXYWGUZMVN,626042
ADVTOSIXKVZUKVTCDJWQLVHWQDOCCDQVRNFM,994211
